State,District,Year,Area_Ha,Production_Tonnes,Yield_Ton_per_Ha,Bagasse_Tonnes,Trash_Tonnes,Press_Mud_Tonnes,Bagasse_Ton_per_Ha,Trash_Ton_per_Ha,Press_Mud_Ton_per_Ha
Haryana,Panipat,1997 - 1998,5000.0,290000.0,58.0,81200.00000000001,34800.0,11600.0,16.240000000000002,6.96,2.32
Haryana,Rohtak,1997 - 1998,12000.0,550000.0,45.83,154000.00000000003,66000.0,22000.0,12.832400000000002,5.499599999999999,1.8332
Haryana,Sonipat,1997 - 1998,11000.0,580000.0,52.73,162400.00000000003,69600.0,23200.0,14.7644,6.3275999999999994,2.1092
Haryana,Yamunanagar,1997 - 1998,41000.0,2410000.0,58.78,674800.0000000001,289200.0,96400.0,16.4584,7.0536,2.3512
Jharkhand,Bokaro,1997 - 1998,3.0,129.0,43.0,36.120000000000005,15.479999999999999,5.16,12.040000000000001,5.16,1.72
Jharkhand,Chatra,1997 - 1998,666.0,20603.0,30.94,5768.84,2472.36,824.12,8.663200000000002,3.7128,1.2376
Jharkhand,Dumka,1997 - 1998,18.0,951.0,52.83,266.28000000000003,114.11999999999999,38.04,14.7924,6.3396,2.1132
Jharkhand,Garhwa,1997 - 1998,134.0,3780.0,28.21,1058.4,453.59999999999997,151.20000000000002,7.898800000000001,3.3851999999999998,1.1284
Jharkhand,Giridih,1997 - 1998,16.0,507.0,31.69,141.96,60.839999999999996,20.28,8.8732,3.8028,1.2676
Jharkhand,Godda,1997 - 1998,100.0,4297.0,42.97,1203.16,515.64,171.88,12.031600000000001,5.1564,1.7187999999999999
Jharkhand,Hazaribagh,1997 - 1998,582.0,18004.0,30.93,5041.120000000001,2160.48,720.16,8.660400000000001,3.7116,1.2372
Jharkhand,Koderma,1997 - 1998,189.0,5847.0,30.94,1637.16,701.64,233.88,8.663200000000002,3.7128,1.2376
Jharkhand,Lohardaga,1997 - 1998,40.0,1719.0,42.98,481.32000000000005,206.28,68.76,12.0344,5.1575999999999995,1.7191999999999998
Jharkhand,Pakur,1997 - 1998,18.0,794.0,44.11,222.32000000000002,95.28,31.76,12.350800000000001,5.2932,1.7644
Jharkhand,Palamu,1997 - 1998,757.0,20736.0,27.39,5806.080000000001,2488.3199999999997,829.44,7.669200000000001,3.2868,1.0956000000000001
Jharkhand,Ranchi,1997 - 1998,7.0,301.0,43.0,84.28,36.12,12.040000000000001,12.040000000000001,5.16,1.72
Jharkhand,Sahebganj,1997 - 1998,2.0,86.0,43.0,24.080000000000002,10.32,3.44,12.040000000000001,5.16,1.72
Karnataka,Belgaum,1997 - 1998,125173.0,11177949.0,89.3,3129825.72,1341353.88,447117.96,25.004,10.716,3.572
Karnataka,Bellary,1997 - 1998,6945.0,488234.0,70.3,136705.52000000002,58588.079999999994,19529.36,19.684,8.436,2.812
Karnataka,Bengaluru urban,1997 - 1998,1585.0,149070.0,94.05,41739.600000000006,17888.399999999998,5962.8,26.334000000000003,11.286,3.762
Karnataka,Bidar,1997 - 1998,22571.0,1543856.0,68.4,432279.68000000005,185262.72,61754.24,19.152000000000005,8.208,2.736
Karnataka,Bijapur,1997 - 1998,56484.0,5795258.0,102.6,1622672.2400000002,695430.96,231810.32,28.728,12.312,4.104
Karnataka,Chikmagalur,1997 - 1998,1488.0,163978.0,110.2,45913.840000000004,19677.36,6559.12,30.856000000000005,13.224,4.408
Karnataka,Chitradurga,1997 - 1998,8378.0,827746.0,98.8,231768.88000000003,99329.51999999999,33109.840000000004,27.664,11.856,3.952
Karnataka,Dakshin kannad,1997 - 1998,2154.0,188260.0,87.4,52712.8,22591.2,7530.400000000001,24.472000000000005,10.488,3.4960000000000004
Karnataka,Dharwad,1997 - 1998,7762.0,442434.0,57.0,123881.52000000002,53092.079999999994,17697.36,15.96,6.84,2.2800000000000002
Karnataka,Gulbarga,1997 - 1998,5032.0,411114.0,81.7,115111.92000000001,49333.68,16444.56,22.876,9.804,3.2680000000000002
Karnataka,Hassan,1997 - 1998,4919.0,495343.0,100.7,138696.04,59441.159999999996,19813.72,28.196000000000005,12.084,4.0280000000000005
Karnataka,Kodagu,1997 - 1998,7.0,658.0,94.0,184.24,78.96,26.32,26.320000000000004,11.28,3.7600000000000002
Karnataka,Kolar,1997 - 1998,3183.0,290290.0,91.2,81281.20000000001,34834.799999999996,11611.6,25.536000000000005,10.943999999999999,3.648
Karnataka,Mandya,1997 - 1998,26846.0,2958429.0,110.2,828360.1200000001,355011.48,118337.16,30.856000000000005,13.224,4.408
Karnataka,Mysore,1997 - 1998,19349.0,2058734.0,106.4,576445.52,247048.08,82349.36,29.792000000000005,12.768,4.256
Karnataka,Raichur,1997 - 1998,1304.0,122641.0,94.05,34339.48,14716.92,4905.64,26.334000000000003,11.286,3.762
Karnataka,Shimoga,1997 - 1998,12141.0,1614753.0,133.0,452130.84,193770.36,64590.12,37.24,15.959999999999999,5.32
Karnataka,Tumkur,1997 - 1998,1732.0,171122.0,98.8,47914.16,20534.64,6844.88,27.664,11.856,3.952
Karnataka,Uttar kannad,1997 - 1998,1804.0,99400.0,55.1,27832.000000000004,11928.0,3976.0,15.428000000000003,6.612,2.204
Maharashtra,Ahilyanagar,1997 - 1998,45900.0,38940.0,0.85,10903.2,4672.8,1557.6000000000001,0.23800000000000002,0.102,0.034
Maharashtra,Dhule,1997 - 1998,9800.0,8144.0,0.83,2280.32,977.28,325.76,0.23240000000000002,0.0996,0.0332
Maharashtra,Jalgaon,1997 - 1998,10900.0,8758.0,0.8,2452.2400000000002,1050.96,350.32,0.22400000000000003,0.096,0.032
Maharashtra,Nashik,1997 - 1998,21900.0,20685.0,0.94,5791.8,2482.2,827.4,0.2632,0.11279999999999998,0.0376
Maharashtra,Pune,1997 - 1998,40900.0,39227.0,0.96,10983.560000000001,4707.24,1569.08,0.26880000000000004,0.1152,0.0384
